I-PER姆	[['2017-05-30 00', 1.0096153846153846, 0]]
I-PER寅	[['2017-03-04 01', 0.72033898305084754, 0], ['2017-06-01 06', 0.90000000000000002, 0], ['2017-05-30 15', 0.72857142857142865, 0], ['2017-05-30 15', 0, 1.0], ['2017-05-30 15', 0, 0.77884615384615385], ['2017-05-30 00', 0, 1.0], ['2017-05-30 00', 0, 0.75862068965517238], ['2017-05-30 00', 0, 1.0], ['2017-05-30 00', 0, 0.8666666666666667], ['2017-05-19 20', 0, 1.0], ['2017-05-19 20', 0.967741935483871, 0], ['2017-05-24 06', 0, 0.8666666666666667], ['2017-05-24 06', 0, 0.96478873239436624], ['2017-05-23 10', 0, 0.96753246753246758], ['2017-05-23 10', 0.82352941176470584, 0], ['2017-05-19 12', 0.82352941176470584, 0], ['2017-05-19 12', 0.8666666666666667, 0], ['2017-05-18 10', 0.8666666666666667, 0], ['2017-05-18 10', 0.7592592592592593, 0], ['2017-05-16 20', 0.77966101694915257, 0], ['2017-05-16 20', 0, 0.82499999999999996], ['2017-05-15 05', 0, 0.98484848484848486], ['2017-05-15 05', 0, 0.61904761904761907]]
I-ORG朝鲜	[['2017-03-01 02', 0, 1.0], ['2017-02-20 07', 0.95918367346938771, 0], ['2017-02-19 10', 0.96226415094339623, 0]]
I-PER俊	[['2017-01-26 22', 0.7767857142857143, 0]]
I-ORG环球	[['2017-03-07 10', 0, 0.91666666666666663], ['2017-02-27 15', 0.91333333333333333, 0], ['2017-02-20 07', 0.94117647058823528, 0], ['2017-02-27 14', 0.91333333333333333, 0]]
I-LOC内地	[['2017-03-06 14', 0.86274509803921573, 0], ['2017-03-02 02', 0.85714285714285721, 0], ['2017-03-02 15', 0.86274509803921573, 0]]
I-PER金	[['2017-03-01 07', 0, 0], ['2017-03-01 07', 0, 0]]
I-LOC华盛顿	[['2017-05-30 00', 0.95192307692307687, 0], ['2017-05-16 20', 0.70833333333333326, 0]]
I-PER韩	[['2017-03-07 16', 0.97402597402597402, 0], ['2017-03-07 10', 0.65517241379310343, 0], ['2017-03-07 16', 0, 0.80303030303030298], ['2017-03-07 16', 0, 1.0], ['2017-03-07 16', 0, 0.75], ['2017-03-07 16', 0.8666666666666667, 0], ['2017-03-07 16', 0.58139534883720922, 0], ['2017-02-12 09', 0, 0.62307692307692308], ['2017-02-01 15', 0, 0.8515625], ['2017-02-01 15', 0, 0.96875], ['2017-03-01 02', 1.0, 0], ['2017-02-08 17', 0, 0.93918918918918914], ['2017-02-08 17', 0, 0.60416666666666674], ['2017-01-31 13', 0, 0.97435897435897434], ['2017-01-26 22', 0.80714285714285716, 0], ['2017-01-26 22', 0, 0.90000000000000002], ['2017-01-26 22', 0.65476190476190477, 0], ['2017-03-01 07', 0.91891891891891886, 0], ['2017-02-07 11', 0, 0.60416666666666674], ['2017-02-28 09', 1.0, 0], ['2017-02-28 09', 0, 0.59677419354838712], ['2017-02-28 08', 0.71323529411764708, 0], ['2017-02-20 07', 0.72535211267605626, 0], ['2017-02-19 10', 0.72535211267605626, 0], ['2017-02-07 00', 0.69047619047619047, 0], ['2017-06-01 06', 0, 0.86419753086419759], ['2017-06-01 06', 0, 0.87654320987654322], ['2017-05-30 15', 0.98750000000000004, 0], ['2017-05-30 00', 0.98750000000000004, 0], ['2017-05-30 00', 0.98684210526315785, 0], ['2017-05-19 20', 0, 1.125], ['2017-05-24 06', 0, 0.67142857142857149], ['2017-05-23 10', 0, 0.67142857142857149], ['2017-05-15 05', 0.85714285714285721, 0], ['2017-05-15 05', 0, 0.75757575757575757]]
I-ORG西江	[['2017-05-16 20', 0.96969696969696972, 0]]
I-LOC仁川	[['2017-03-06 21', 0, 0.68918918918918926], ['2017-03-06 04', 0, 0.69736842105263164], ['2017-03-06 04', 0.8085106382978724, 0], ['2017-03-06 15', 0, 0.69736842105263164], ['2017-03-06 15', 0.8085106382978724, 0], ['2017-05-19 20', 0.91666666666666663, 0], ['2017-05-16 20', 0, 0.93333333333333335], ['2017-05-16 20', 0, 0.8666666666666667]]
I-ORG辽宁	[['2017-02-20 07', 0.9285714285714286, 0]]
I-LOC吉安	[['2017-01-26 22', 0, 0.83333333333333337]]
